"","id","is_male","repaid","curr_test","new_test_1","new_test_2"
"1",1,0,1,0,1,0
"2",2,1,0,0,0,0
"3",3,0,1,1,0,0
"4",4,0,1,1,1,1
"5",5,0,1,1,1,1
"6",6,0,1,0,1,0
"7",7,1,1,1,1,1
"8",8,0,1,0,1,1
"9",9,1,1,1,0,1
"10",10,1,1,1,1,1
"11",11,0,1,1,1,0
"12",12,1,1,1,0,1
"13",13,1,1,1,1,1
"14",14,1,0,0,0,0
"15",15,1,0,0,0,0
"16",16,0,1,1,1,1
"17",17,1,0,0,0,0
"18",18,0,1,1,1,1
"19",19,0,1,1,1,1
"20",20,0,1,1,1,1
"21",21,0,1,0,1,0
"22",22,0,0,0,0,1
"23",23,1,0,0,0,0
"24",24,1,1,1,1,1
"25",25,1,1,1,1,1
"26",26,1,1,0,1,1
"27",27,0,1,1,1,1
"28",28,0,1,1,1,1
"29",29,1,1,1,1,0
"30",30,0,1,0,1,1
"31",31,0,1,0,1,0
"32",32,0,1,1,1,1
"33",33,1,1,1,1,1
"34",34,0,1,1,0,1
"35",35,0,1,1,1,1
"36",36,0,1,1,1,1
"37",37,0,1,0,1,1
"38",38,1,0,0,0,0
"39",39,1,1,1,1,1
"40",40,0,1,1,1,1
"41",41,1,1,1,1,1
"42",42,1,1,1,1,1
"43",43,0,1,0,1,1
"44",44,1,1,1,1,1
"45",45,1,0,0,0,0
"46",46,1,1,1,1,0
"47",47,1,1,1,1,1
"48",48,1,1,1,1,1
"49",49,0,1,1,1,1
"50",50,1,0,0,0,0
"51",51,0,1,1,1,0
"52",52,0,1,1,0,1
"53",53,1,1,1,0,1
"54",54,0,1,0,1,1
"55",55,0,1,1,1,0
"56",56,0,1,1,1,1
"57",57,0,1,1,1,1
"58",58,1,0,1,0,0
"59",59,1,0,0,0,1
"60",60,1,1,1,0,1
"61",61,1,1,1,1,1
"62",62,0,1,1,1,1
"63",63,0,1,1,1,1
"64",64,1,0,0,0,0
"65",65,0,1,1,1,1
"66",66,1,1,1,1,1
"67",67,1,1,1,1,0
"68",68,1,1,1,1,1
"69",69,0,1,1,1,1
"70",70,0,1,0,0,1
"71",71,1,1,1,1,1
"72",72,0,1,1,1,1
"73",73,1,1,0,1,1
"74",74,1,1,0,1,1
"75",75,0,1,1,1,1
"76",76,0,1,1,0,1
"77",77,0,1,1,1,1
"78",78,1,1,1,1,1
"79",79,0,1,1,1,1
"80",80,0,1,1,1,1
"81",81,1,0,1,0,0
"82",82,0,0,0,0,0
