"","id","is_male","repaid","curr_test","new_test_1","new_test_2"
"1",1,0,1,1,1,1
"2",2,1,1,1,1,1
"3",3,1,1,1,1,1
"4",4,0,1,0,1,0
"5",5,0,1,1,1,0
"6",6,1,1,1,1,1
"7",7,0,1,0,1,1
"8",8,1,1,1,0,1
"9",9,1,1,1,1,1
"10",10,0,1,1,1,1
"11",11,0,1,1,0,1
"12",12,0,1,1,1,0
"13",13,0,1,1,1,1
"14",14,0,1,0,0,1
"15",15,1,1,0,1,1
"16",16,0,0,0,1,0
"17",17,0,1,1,1,1
"18",18,1,0,0,0,0
"19",19,0,1,0,1,1
"20",20,1,1,1,1,1
"21",21,0,0,0,0,0
"22",22,1,0,0,0,0
"23",23,0,1,1,1,1
"24",24,1,0,0,0,0
"25",25,1,1,1,1,1
"26",26,1,1,1,1,1
"27",27,0,0,0,0,0
"28",28,0,0,0,0,0
"29",29,0,1,1,1,0
"30",30,0,1,1,1,1
"31",31,0,1,1,1,0
"32",32,1,1,1,1,1
"33",33,0,1,1,1,1
"34",34,0,1,1,1,1
"35",35,1,1,1,1,1
"36",36,0,1,0,1,1
"37",37,1,1,0,1,1
"38",38,0,1,1,0,1
"39",39,1,0,0,0,0
"40",40,1,1,1,1,1
"41",41,1,1,1,1,1
"42",42,1,1,1,1,1
"43",43,1,1,1,1,1
"44",44,0,1,1,1,1
"45",45,1,0,0,0,0
"46",46,1,1,0,1,1
"47",47,0,1,1,1,0
"48",48,0,1,0,1,1
"49",49,1,1,1,1,1
"50",50,1,1,1,1,1
"51",51,0,0,1,0,0
"52",52,1,0,0,0,0
"53",53,0,1,0,1,1
"54",54,0,1,1,1,1
"55",55,1,1,1,1,1
"56",56,1,1,1,1,1
"57",57,1,1,1,1,1
"58",58,1,1,1,1,0
"59",59,0,1,1,1,1
"60",60,1,0,0,0,0
"61",61,1,1,1,1,1
"62",62,0,1,1,1,1
"63",63,0,1,1,1,1
"64",64,1,1,1,1,1
"65",65,1,0,0,0,0
"66",66,1,0,0,0,0
"67",67,0,1,1,0,1
"68",68,1,1,0,0,1
"69",69,1,1,1,1,1
"70",70,0,1,1,1,1
"71",71,1,1,0,1,1
"72",72,0,1,0,1,1
"73",73,0,1,1,1,1
"74",74,1,1,1,1,1
"75",75,0,1,1,1,1
"76",76,0,1,1,1,1
"77",77,1,1,1,1,1
"78",78,0,1,1,1,1
"79",79,1,1,1,1,1
"80",80,0,1,1,0,1
"81",81,1,1,1,1,1
"82",82,1,1,1,1,1
"83",83,0,1,1,1,1
"84",84,0,1,1,1,1
"85",85,0,1,1,1,0
"86",86,1,0,0,0,0
"87",87,1,1,1,0,1
"88",88,0,1,0,1,1
"89",89,1,0,0,0,0
"90",90,1,1,1,1,1
"91",91,1,0,0,0,0
"92",92,0,1,1,1,0
"93",93,1,0,0,0,0
"94",94,0,0,0,0,0
"95",95,0,1,1,1,1
"96",96,1,0,0,0,0
"97",97,1,0,0,0,0
"98",98,0,1,1,1,1
"99",99,0,1,1,1,1
"100",100,0,1,1,1,1
"101",101,1,0,1,0,0
"102",102,0,1,1,1,1
"103",103,1,1,1,1,1
"104",104,0,1,1,1,1
"105",105,1,1,1,1,1
"106",106,0,0,0,0,0
"107",107,1,1,1,1,1
"108",108,0,1,0,1,1
"109",109,0,1,1,1,1
"110",110,0,1,0,1,1
"111",111,1,1,1,1,1
"112",112,1,1,1,1,1
"113",113,0,1,1,1,1
"114",114,1,0,0,0,0
"115",115,0,1,0,1,1
