"","id","is_male","repaid","curr_test","new_test_1","new_test_2"
"1",1,0,1,1,1,1
"2",2,0,1,0,1,1
"3",3,0,0,0,0,1
"4",4,0,1,1,0,1
"5",5,0,1,0,1,1
"6",6,0,1,1,1,1
"7",7,1,0,0,0,0
"8",8,0,1,1,1,1
"9",9,0,1,1,1,0
"10",10,1,1,1,0,1
"11",11,1,0,0,0,0
"12",12,0,0,1,0,0
"13",13,1,1,1,1,1
"14",14,0,1,1,1,1
"15",15,0,1,1,1,1
"16",16,1,0,0,0,0
"17",17,0,1,1,1,1
"18",18,1,0,0,0,0
"19",19,0,1,1,1,1
"20",20,1,1,1,1,1
"21",21,1,0,1,0,0
"22",22,0,1,0,1,1
"23",23,0,1,1,1,1
"24",24,0,1,1,1,1
"25",25,1,1,1,1,1
"26",26,0,1,1,1,1
"27",27,1,1,0,1,1
"28",28,1,1,1,1,1
"29",29,0,1,1,1,1
"30",30,1,0,0,0,0
"31",31,0,1,1,1,1
"32",32,1,1,0,1,1
"33",33,0,1,1,1,1
"34",34,1,1,1,1,1
"35",35,1,1,1,0,1
"36",36,0,1,1,1,1
"37",37,1,0,0,0,0
"38",38,0,1,1,1,1
"39",39,0,0,0,0,0
"40",40,0,1,1,1,1
"41",41,1,0,0,1,0
"42",42,1,0,0,1,0
"43",43,1,1,1,1,1
"44",44,0,1,1,1,1
"45",45,0,1,1,1,1
"46",46,0,1,1,1,1
"47",47,0,1,0,1,1
"48",48,0,1,1,0,1
"49",49,0,1,1,1,1
"50",50,0,1,1,0,1
"51",51,0,1,1,1,1
"52",52,1,1,1,1,1
"53",53,0,1,1,1,1
"54",54,1,1,1,1,1
"55",55,1,1,1,1,1
"56",56,1,1,1,1,0
"57",57,1,0,0,0,0
"58",58,0,1,1,1,1
"59",59,0,1,1,1,1
"60",60,0,1,1,1,1
"61",61,0,1,1,1,1
"62",62,0,0,0,0,1
"63",63,1,0,0,1,0
"64",64,1,0,0,0,0
"65",65,0,1,0,1,0
"66",66,1,1,1,1,1
"67",67,1,1,1,1,1
"68",68,1,1,1,1,1
"69",69,0,1,1,1,1
"70",70,0,1,1,1,1
"71",71,0,1,1,1,1
"72",72,0,1,0,1,0
"73",73,1,0,0,0,0
"74",74,0,1,1,1,1
"75",75,0,1,1,1,1
"76",76,0,1,1,1,1
"77",77,1,0,0,0,0
"78",78,1,1,0,1,1
"79",79,1,0,0,0,0
"80",80,0,1,1,0,1
"81",81,1,1,1,1,1
"82",82,1,1,1,0,1
"83",83,1,1,1,1,1
"84",84,0,0,0,0,0
"85",85,0,1,1,1,1
"86",86,0,1,1,1,1
"87",87,0,1,1,1,1
"88",88,1,1,1,1,1
"89",89,1,1,0,1,1
"90",90,1,1,0,1,1
"91",91,0,1,1,1,1
"92",92,1,1,0,1,1
"93",93,0,1,0,1,1
"94",94,0,1,1,1,1
"95",95,1,1,1,1,1
"96",96,0,1,0,1,1
"97",97,1,1,1,1,0
"98",98,1,1,0,1,1
"99",99,1,0,0,0,0
"100",100,1,1,0,1,1
"101",101,1,1,1,1,1
"102",102,1,1,1,1,1
"103",103,0,1,1,1,1
"104",104,1,1,1,1,1
"105",105,1,1,1,1,1
"106",106,1,1,0,1,1
"107",107,0,1,0,1,1
"108",108,1,0,1,0,0
"109",109,0,1,1,1,1
"110",110,0,1,1,1,1
"111",111,1,1,1,1,1
"112",112,0,1,1,1,0
"113",113,0,1,0,0,1
"114",114,1,0,1,0,0
"115",115,0,1,1,0,1
"116",116,1,0,1,0,1
"117",117,1,1,1,1,1
"118",118,0,1,1,0,1
"119",119,1,0,0,0,0
"120",120,0,1,0,1,1
"121",121,1,1,1,1,1
"122",122,1,0,0,0,0
"123",123,1,1,1,1,1
"124",124,1,1,1,1,1
"125",125,1,1,1,1,1
"126",126,0,1,1,1,1
"127",127,0,1,0,1,1
"128",128,0,1,1,1,0
"129",129,0,1,1,1,0
"130",130,1,1,1,1,1
"131",131,0,1,1,1,0
"132",132,0,1,1,1,0
"133",133,0,1,1,1,1
"134",134,0,0,0,1,0
"135",135,0,1,0,1,1
"136",136,0,1,1,1,1
"137",137,1,1,0,1,1
"138",138,1,1,1,1,1
"139",139,1,0,0,0,0
"140",140,1,1,1,0,1
"141",141,1,1,0,1,1
"142",142,1,0,0,0,0
"143",143,1,0,0,0,0
"144",144,0,1,1,1,1
"145",145,0,1,1,1,0
"146",146,0,1,1,1,1
"147",147,1,1,1,1,1
"148",148,0,0,0,0,0
"149",149,0,1,1,1,1
"150",150,0,1,1,1,1
"151",151,0,1,1,1,1
"152",152,1,1,1,1,1
"153",153,0,0,1,0,1
"154",154,0,1,1,0,0
"155",155,0,1,1,1,1
"156",156,1,1,1,1,1
"157",157,0,1,1,1,1
"158",158,1,1,1,1,1
"159",159,0,1,1,1,1
"160",160,0,1,1,0,1
"161",161,0,1,1,1,1
"162",162,1,1,1,0,1
"163",163,0,1,0,1,1
"164",164,1,0,0,0,0
"165",165,0,1,1,1,1
"166",166,1,0,0,0,0
"167",167,0,1,1,0,1
"168",168,1,1,1,1,1
"169",169,0,1,1,1,1
"170",170,0,1,1,1,1
"171",171,1,1,1,0,1
"172",172,1,1,1,1,1
"173",173,1,0,0,0,0
"174",174,0,0,0,0,0
"175",175,1,1,1,1,1
"176",176,0,1,1,1,1
"177",177,0,1,1,1,1
"178",178,1,0,1,0,0
"179",179,1,0,0,0,0
"180",180,0,1,1,1,0
"181",181,1,1,1,1,1
"182",182,1,1,1,1,1
"183",183,0,1,1,1,1
"184",184,0,0,0,0,0
"185",185,0,1,1,1,1
"186",186,1,1,1,1,1
"187",187,1,1,1,1,1
"188",188,0,1,1,1,1
"189",189,0,1,1,1,1
"190",190,1,0,0,0,0
"191",191,0,1,1,1,1
"192",192,0,0,0,0,0
"193",193,1,0,0,0,0
"194",194,0,1,1,1,1
"195",195,1,0,0,0,0
"196",196,0,1,1,1,1
"197",197,0,1,0,1,1
"198",198,0,1,1,1,1
"199",199,1,1,1,1,1
"200",200,0,1,0,1,1
"201",201,1,1,1,1,1
"202",202,0,1,1,1,1
"203",203,1,0,0,0,0
"204",204,0,0,0,0,0
"205",205,1,0,0,0,0
"206",206,0,1,1,1,1
"207",207,1,0,0,0,0
"208",208,1,0,0,0,0
"209",209,0,1,1,1,1
"210",210,1,0,0,0,0
"211",211,0,1,1,1,1
"212",212,1,0,0,0,0
"213",213,1,1,1,1,1
"214",214,1,1,1,1,1
"215",215,0,1,1,1,1
"216",216,1,1,1,1,1
"217",217,1,1,1,1,1
"218",218,0,1,1,1,1
"219",219,1,0,0,0,0
"220",220,0,1,1,1,1
"221",221,1,1,1,1,1
"222",222,0,0,1,0,0
"223",223,0,1,1,1,1
"224",224,0,1,1,1,1
"225",225,0,1,1,1,0
"226",226,1,1,1,1,1
"227",227,1,1,1,0,1
"228",228,0,1,1,1,1
"229",229,0,1,1,1,0
"230",230,1,1,1,1,1
"231",231,0,1,1,1,1
"232",232,1,0,0,1,0
"233",233,1,1,0,1,1
"234",234,1,1,1,1,1
"235",235,0,1,1,1,1
"236",236,1,1,1,1,1
"237",237,0,1,0,1,1
"238",238,0,1,1,0,0
"239",239,1,1,1,1,1
"240",240,1,0,0,1,0
"241",241,0,1,1,1,1
"242",242,0,1,0,1,1
"243",243,0,1,1,1,1
"244",244,1,1,1,1,1
"245",245,1,1,1,1,1
"246",246,1,1,0,1,1
"247",247,0,1,1,1,1
"248",248,0,1,1,1,1
"249",249,0,1,1,1,1
"250",250,0,0,0,0,0
"251",251,1,1,1,1,1
"252",252,0,1,0,1,0
"253",253,0,1,0,1,0
"254",254,1,1,1,1,1
"255",255,1,1,0,1,1
"256",256,1,1,1,1,1
"257",257,0,1,1,0,1
"258",258,1,1,1,1,1
"259",259,1,1,1,1,1
"260",260,0,1,0,1,1
"261",261,0,1,0,1,1
"262",262,0,1,1,1,1
"263",263,0,1,1,1,1
"264",264,1,0,0,0,0
"265",265,0,1,1,1,1
"266",266,0,1,0,0,1
"267",267,1,1,1,1,1
"268",268,0,1,1,1,1
"269",269,0,1,1,1,0
"270",270,0,1,0,1,1
"271",271,1,1,1,1,0
"272",272,0,1,1,1,1
"273",273,0,1,0,1,1
"274",274,1,0,0,0,0
"275",275,1,1,1,1,1
"276",276,1,1,1,1,1
"277",277,1,1,1,0,1
"278",278,0,1,1,1,1
"279",279,1,1,1,1,1
"280",280,1,0,0,0,0
"281",281,0,1,0,0,1
"282",282,0,1,1,1,1
"283",283,1,1,1,1,1
"284",284,1,1,1,1,1
"285",285,0,1,1,1,1
"286",286,1,0,0,0,0
"287",287,0,1,1,1,1
"288",288,1,1,0,1,1
"289",289,0,1,1,1,1
"290",290,1,1,1,0,1
"291",291,1,1,1,1,1
"292",292,0,1,1,1,1
"293",293,0,1,0,1,1
"294",294,0,1,1,1,0
"295",295,1,1,0,1,1
"296",296,0,1,1,1,1
"297",297,1,1,1,1,1
"298",298,0,1,1,1,1
"299",299,0,1,1,1,1
"300",300,0,1,0,1,1
"301",301,1,1,1,1,1
"302",302,1,0,0,0,0
